United States Billion-Dollar Disasters By Year (CPI-Adjusted)
Cost values are in billions of dollars
Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
1990,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.4,2.1,2.8,2.1,3.1,1.9,3.1,1,8.1,6.2,10.0,6.0,10.3,5.7,10.5,1,1.9,1.9,2.3,1.9,2.6,1.6,2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.7,1.4,2.3,1.8,2.5,2.1,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,14.1,11.6,17.4,11.8,18.5,11.3,18.7
1991,1,6.8,6.8,8.8,6.6,9.3,6.3,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5,1.4,1.6,1.1,1.8,1.1,1.8,1,3.4,2.9,4.0,2.7,4.0,2.5,4.2,1,7.3,5.7,8.4,5.5,8.8,5.1,9.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,19.0,16.8,22.8,15.9,23.9,15.0,24.8
1992,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6.9,6.3,7.9,6.3,8.5,5.6,8.5,2,65.0,58.0,70.6,55.9,73.0,54.8,74.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.3,4.7,5.8,4.5,6.0,4.5,6.2,7,77.2,69.0,84.3,66.7,87.5,64.9,89.1
1993,1,2.7,2.8,3.2,2.6,3.4,2.6,3.4,1,44.6,31.5,42.6,29.6,44.5,28.3,46.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.4,1.1,1.3,1.1,1.5,0.8,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.9,2.1,2.9,2.1,3.2,1.9,3.4,1,11.8,10.9,12.6,10.7,13.0,10.0,13.6,5,63.4,48.4,62.6,46.1,65.6,43.6,67.9
1994,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.0,2.8,1.8,3.0,1.8,3.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.9,2.1,1.9,2.3,1.6,2.3,1,2.0,1.8,2.5,1.6,2.5,1.6,2.5,1,1.5,1.2,1.8,1.2,1.8,1.0,2.1,2,8.4,7.3,9.1,7.1,9.3,6.9,9.3,6,15.9,14.2,18.3,13.6,18.9,12.9,19.4
1995,1,2.0,1.8,2.2,1.6,2.6,1.4,2.8,1,5.1,3.2,4.8,2.8,5.3,2.8,5.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,12.2,9.4,12.6,8.6,13.4,8.2,14.0,3,15.2,13.9,17.7,13.5,19.3,13.1,20.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,34.5,28.3,37.3,26.5,40.6,25.5,42.2
1996,1,3.5,3.3,4.5,3.3,4.9,3.2,5.1,2,3.3,2.8,4.2,2.8,4.3,2.6,4.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.7,8.9,11.4,8.3,12.0,7.9,12.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.9,4.7,6.5,4.5,6.9,4.5,7.1,5,22.4,19.7,26.6,18.9,28.1,18.2,29.1
1997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,12.8,11.9,17.3,11.1,18.1,10.3,18.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.9,1.7,2.1,1.7,2.1,1.5,2.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,14.7,13.6,19.4,12.8,20.2,11.8,21.2
1998,1,6.6,5.6,7.0,5.5,7.3,5.3,7.5,1,1.7,1.5,2.2,1.5,2.4,1.3,2.4,1,4.7,3.8,5.6,3.6,5.8,3.6,5.8,4,8.8,7.9,9.4,7.3,10.0,7.1,10.4,3,14.2,12.3,16.1,11.5,17.1,11.3,17.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.6,2.1,2.6,2.1,2.8,1.9,3.0,11,38.6,33.2,42.9,31.5,45.4,30.5,46.6
1999,1,4.6,4.3,5.0,4.1,5.0,4.1,5.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.7,3.1,4.0,3.1,4.2,2.9,4.4,1,11.7,10.3,12.7,10.0,13.2,9.6,13.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.5,3.4,4.1,3.2,4.4,3.0,4.8,5,23.5,21.1,25.8,20.4,26.8,19.6,28.0
