,Country Name,CO2_tonpc,GDP_pc,PM25_mcgpcm,pop_den
185,Sudan,0.511922937,1950.031616,54.67729786,23.14351874
186,Suriname,4.42581305,8756.155154,21.17742119,3.848083333
187,Sweden,3.401593966,53490.35182,5.647572855,25.23766548
188,Switzerland,4.358609865,87123.66044,9.902709701,217.0076296
189,Syrian Arab Republic,1.335459488,781.3912174,30.95362503,109.4497141
190,Tajikistan,0.960233171,1172.079123,38.31858602,67.27432092
191,Tanzania,0.249877327,1038.736328,24.74048013,67.59153195
192,Thailand,3.849043757,6453.894143,27.40271356,139.5755701
193,Timor-Leste,0.482334951,1530.81108,15.65130893,86.10880968
194,Togo,0.296284381,837.4929276,46.21037553,151.5553227
195,Tonga,1.538813351,4628.447252,10.58622123,145.7652778
196,Trinidad and Tobago,11.31303229,15576.4346,21.97072547,296.2875244
197,Tunisia,2.576495226,4094.880578,30.42981942,77.55737642
198,Turkiye,4.776771154,11935.38787,26.03180162,108.4698933
199,Turkmenistan,10.26753615,7422.362521,26.19766251,13.10497308
200,Turks and Caicos Islands,..,25438.78329,..,45.34736842
201,Tuvalu,0.81234027,4197.239177,6.02840838,365.2
202,Uganda,0.138373162,922.0231741,35.21822646,214.1885099
203,Ukraine,3.933652536,2425.63501,14.53144476,76.60718502
204,United Arab Emirates,20.15334483,43785.41727,43.66702552,129.7051112
205,United Kingdom,5.175842473,47491.59456,10.09284402,276.2630802
206,United States,14.67338071,60698.0113,7.663692516,35.89317567
207,Uruguay,1.985381557,17563.20815,9.533862914,19.58866987
208,Uzbekistan,3.504662697,3185.334555,34.78609557,76.22283256
209,Vanuatu,0.548284517,2838.988278,12.88296752,24.97161608
210,"Venezuela, RB",3.71059907,..,21.74698878,32.84585114
211,Vietnam,3.567848369,3288.353073,20.3898157,305.5770717
212,Virgin Islands (U.S.),..,36273.0951,8.996021018,304.7685714
213,West Bank and Gaza,..,3378.434621,31.30254529,778.2900332
214,"Yemen, Rep.",0.354864477,1182.507094,44.46696713,59.75091577
215,Zambia,0.414336364,1310.622224,25.92546019,24.72521422
216,Zimbabwe,0.663338328,1342.989586,20.83469969,39.69137392
